id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1369540899181453314,1369424434747039747,2021-03-10 12:19:29 IST,2021-03-10,12:19:29,+0530,261367542,shady4cali747,AJ Salinas,,"@DianaDdlziegler @_Lisah @kaitlancollins We have Kaiser Permanente insurance, and there still only at 75 and older.  (Ca) What a joke.....",en,[],[],[],1,0,1,[],[],https://twitter.com/shady4cali747/status/1369540899181453314,False,,0,,,,,,,,"[{'screen_name': 'DianaDdlziegler', 'name': 'Diana Ziegler', 'id': '2510637020'}, {'screen_name': '_Lisah', 'name': 'LAH 💙 🇺🇸', 'id': '36126823'}, {'screen_name': 'kaitlancollins', 'name': 'Kaitlan Collins', 'id': '180107694'}]",,,,
1369409246840971271,1369409246840971271,2021-03-10 03:36:21 IST,2021-03-10,03:36:21,+0530,1057115705496133632,elizabethtroub,InnocentSoul,,Mood: Estrogen withdrawl. Crazy and angry.  Just waiting for the new insurance (Kaiser) to fill my prescription... It has been over two weeks and I am really irritated.   Also cannot breathe well as my asthma meds are stuck in limbo too.  LSS: Fuck Kaiser Permanente...,en,[],[],[],2,0,1,[],[],https://twitter.com/ElizabethTroub/status/1369409246840971271,False,,0,,,,,,,,[],,,,
1369099899329941507,1369099899329941507,2021-03-09 07:07:07 IST,2021-03-09,07:07:07,+0530,1305612174304227328,luke_the_duke00,Frank Lucas,,Just tried to sign up for the Covid Vaccine through my Kaiser Permanente insurance,en,[],[],[],0,0,0,[],[],https://twitter.com/Luke_The_Duke00/status/1369099899329941507,False,,0,,,,,,,,[],,,,
1369068953662672897,1369068953662672897,2021-03-09 05:04:09 IST,2021-03-09,05:04:09,+0530,930892448,notanoogle,all camaros are bitchin,,"if you are lucky enough to choose your medical insurance, I highly recommend not choosing Kaiser Permanente because they are truly The Worst.",en,[],[],[],2,0,7,[],[],https://twitter.com/notanoogle/status/1369068953662672897,False,,0,,,,,,,,[],,,,
1369029067954139138,1369029067954139138,2021-03-09 02:25:39 IST,2021-03-09,02:25:39,+0530,163550916,ashleyalvarado,Ashley Alvarado,,Kaiser Permanente and the city of Lancaster opened a mass COVID-19 vaccination site today at the Antelope Valley Fairgrounds. It’s open to all eligible residents regardless of insurance.  https://t.co/ENP8qK1ovZ,en,[],['https://buff.ly/30oHpmT'],[],0,3,5,[],[],https://twitter.com/AshleyAlvarado/status/1369029067954139138,False,,0,,,,,,,,[],,,,
1369006706986868737,1368629498883829771,2021-03-09 00:56:48 IST,2021-03-09,00:56:48,+0530,1668730015,fiststeakface,Fist Steakface,,"@MolanderBeth @mahad_minhas That would be insurance still, just structured slightly differently. Kaiser Permanente already uses that model.  What you want is for everyone to pay into the same, massive insurer to disperse costs across as many people as possible - i.e., single payer.",en,[],[],[],0,0,0,[],[],https://twitter.com/FistSteakface/status/1369006706986868737,False,,0,,,,,,,,"[{'screen_name': 'MolanderBeth', 'name': 'Bam.Bam', 'id': '531778493'}, {'screen_name': 'mahad_minhas', 'name': 'Mahad Minhas, MD, MPH', 'id': '1192094131549544448'}]",,,,
1368994854894776323,1368994854894776323,2021-03-09 00:09:42 IST,2021-03-09,00:09:42,+0530,54501212,hmltn,Ian Hamilton,,"On the phone with Covered California and Kaiser Permanente for the third time trying to cancel my California health insurance and I'm on escalated support with both organizations. Covered California: ""Is the divorce finalized?"" Me: ""No.....it is finalized in my heart.""  https://t.co/xpw4dcJcJc",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Ev-lj_mWEAY6D2Q.jpg'],2,0,5,[],[],https://twitter.com/hmltn/status/1368994854894776323,False,,1,https://pbs.twimg.com/tweet_video_thumb/Ev-lj_mWEAY6D2Q.jpg,,,,,,,[],,,,
1367896495253430273,1367896495253430273,2021-03-05 23:25:13 IST,2021-03-05,23:25:13,+0530,41042660,kpnorthwest,Kaiser Permanente NW,,"@KPNorthwest Care Essentials on Hawthorne in Portland is now reopen. The clinic treats minor (non-urgent) injuries &amp; preventive care, including physicals. Book an appt. on  https://t.co/KBQpLiyHCY, at 1-855-235-0491, or in person. No membership required &amp; we accept most insurance.  https://t.co/htoW662Umx",en,[],['http://careessentials.org'],['https://pbs.twimg.com/media/Evu95TvU8AU3A7j.jpg'],0,0,0,[],[],https://twitter.com/KPNorthwest/status/1367896495253430273,False,,1,https://pbs.twimg.com/media/Evu95TvU8AU3A7j.jpg,,,,,,,[],,,,
1367869799930372106,1367869799930372106,2021-03-05 21:39:08 IST,2021-03-05,21:39:08,+0530,184687684,catapocalypse,Desiree 😼,,"Welp, my satisfaction with Kaiser Permanente is steadily dropping. Currently, they expect me to pay over $100 on my Depo injection, which no prior insurance I've had has expected me to pay anything out of pocket for. And their site doesn't seem to be working to let me log in...",en,[],[],[],2,0,0,[],[],https://twitter.com/CatApocalypse/status/1367869799930372106,False,,0,,,,,,,,[],,,,
1367811814877245443,1367533870757933061,2021-03-05 17:48:44 IST,2021-03-05,17:48:44,+0530,1225145457892057091,veronic65307693,Veronica,,"@JessicaMasonTX @SystemOverhaul It depends.If they did an exchange system where prices were fixed and you could use exchanges for picking your own insurance, it would keep some competition between companies.If what the gov’t is offering is like Kaiser Permanente with no other option, hard pass.",en,[],[],[],0,0,0,[],[],https://twitter.com/Veronic65307693/status/1367811814877245443,False,,0,,,,,,,,"[{'screen_name': 'JessicaMasonTX', 'name': 'Jessica Mason for Congress', 'id': '1344365440139714561'}, {'screen_name': 'SystemOverhaul', 'name': 'Taha', 'id': '22952441'}]",,,,
